Symbol;Company Name;Last Price;Change (%);Market Cap;Price/Sales;P/E Ratio (TTM);Forward P/E;Price / Book;Short Ratio;Pre-Mkt Chg %;Post-Mkt Chg %;PEG Ratio (5yr expected);Volume;Avg Vol (10 days);Avg Vol (3M);Shares Out;EPS (TTM);Fwd Ann Div Yield;Trl Ann Div Yield;Book Val;EBITDA;Earnings Date;52-DMA Chg %;200-DMA Chg %;1yr Target Est;EPS Est. Next Yr;EPS Current Year;52-Wk High Chg %;52-Wk Low Chg %;Trl Ann Div Rate;
PANW;Palo Alto Networks, Inc.;400.45;+2.00%;131.386B;16.37;52.07;55.62;25.18;4.75;+1.37%;--;--;564,382;3.944M;2.474M;328.1M;7.69;--;0.00%;15.90;1.094B;2025/02/18 - 2025/02/24;+8.10%;+22.53%;410.59;7.20;6.35;-1.98%;+53.96%;0.00;
CRWD;CrowdStrike Holdings, Inc.;355.73;+1.65%;87.62B;24.92;684.10;83.31;37.34;2.58;+0.42%;--;--;932,721;4.792M;3.844M;233.851M;0.52;--;0.00%;9.53;187.49M;2025/03/03 - 2025/03/07;+12.25%;+13.77%;373.09;4.27;3.76;-10.69%;+77.15%;0.00;
PATH;UiPath Inc.;15.45;+7.44%;8.5B;6.15;--;35.12;4.72;4.05;+1.39%;--;--;5.307M;8.591M;8.489M;467.505M;-0.20;--;0.00%;3.27;-162.186M;2024/12/05 - 2024/12/05;+19.47%;-0.62%;15.47;0.44;0.40;-44.55%;+49.04%;0.00;
QCOM;QUALCOMM Incorporated;163.29;+0.44%;181.482B;4.66;18.27;13.36;6.92;2.69;+1.22%;--;--;1.302M;8.496M;8.186M;1.111B;8.94;2.09%;2.03%;23.61;11.959B;2025/01/29 - 2025/02/03;-2.01%;-7.44%;206.86;12.23;11.19;-29.17%;+25.98%;3.30;
RGTI;Rigetti Computing, Inc.;3.1900;+1.59%;893.356M;75.12;--;-9.67;4.98;2.31;-3.82%;--;--;21.728M;95.176M;20.887M;280.049M;-0.3700;--;0.00%;0.64;-61.023M;2024/11/12 - 2024/11/12;+140.51%;+161.90%;3.50;-0.33;-0.30;-12.84%;+383.33%;0.00;
RXRX;Recursion Pharmaceuticals, Inc.;7.17;+1.06%;2.787B;42.75;--;-4.14;3.91;12.25;+1.13%;--;--;2.281M;13.801M;6.471M;381.901M;-1.54;--;0.00%;1.83;-364.15M;2025/02/25 - 2025/03/03;+8.53%;-12.29%;9.86;-1.73;-1.54;-54.48%;+27.95%;0.00;
NKLA;Nikola Corporation;1.69;+0.90%;102.531M;1.36;--;-0.20;0.25;2.31;+1.78%;--;--;1.764M;7.823M;5.052M;60.867M;-12.3400;--;0.00%;6.86;-498.754M;2025/02/20 - 2025/02/24;-53.00%;-85.68%;12.00;-8.34;-10.28;-95.12%;+2.71%;0.00;
QBTS;D-Wave Quantum Inc.;3.24;+8.37%;724.733M;71.64;--;-12.44;-21.28;2.59;+3.68%;--;--;12.159M;39.822M;11.808M;224.015M;-0.4100;--;0.00%;-0.15;-70.341M;2024/11/14 - 2024/11/14;+127.06%;+136.94%;2.96;-0.26;-0.34;-14.19%;+375.07%;0.00;
FTNT;Fortinet, Inc.;97.26;+2.07%;74.614B;13.07;48.92;40.39;82.08;2.55;+1.95%;--;--;821,914;4.676M;4.689M;766.453M;1.99;--;0.00%;1.19;1.728B;2025/02/04 - 2025/02/10;+14.93%;+38.39%;95.27;2.41;2.25;-3.22%;+92.20%;0.00;
AI;C3.ai, Inc.;38.69;+5.28%;4.912B;15.09;--;-113.73;5.58;7.99;+1.47%;--;--;1.763M;9.425M;4.597M;123.533M;-2.28;--;0.00%;6.93;-305.353M;2024/12/09 - 2024/12/09;+40.00%;+44.95%;24.19;-0.34;-0.54;-3.03%;+105.15%;0.00;
RKLB;Rocket Lab USA, Inc.;23.35;+1.46%;11.66B;32.05;--;-101.41;27.77;2.55;-0.26%;--;--;6.363M;30.301M;19.391M;499.911M;-0.38;--;0.00%;0.84;-154.062M;2024/11/12 - 2024/11/12;+67.32%;+227.43%;22.14;-0.23;-0.28;-16.99%;+572.19%;0.00;
TDOC;Teladoc Health, Inc.;11.21;+2.37%;1.932B;0.75;--;-12.61;1.28;4.26;-0.18%;--;--;945,451;6.596M;5.698M;172.167M;-5.78;--;0.00%;8.77;66.185M;2025/02/18 - 2025/02/24;+18.96%;+4.17%;10.90;-0.89;-1.17;-50.22%;+65.98%;0.00;
PL;Planet Labs PBC;4.39;-0.32%;1.283B;5.44;--;-39.73;2.71;2.75;+2.96%;--;--;1.823M;6.213M;3.043M;272.319M;-0.4700;--;0.00%;1.61;-88.722M;2024/12/09 - 2024/12/09;+65.78%;+95.42%;4.02;-0.11;-0.20;-12.41%;+161.72%;0.00;
DNA;Ginkgo Bioworks Holdings, Inc.;9.48;-2.57%;544.9M;2.50;--;-1.19;0.65;6.57;-0.31%;--;--;277,69;1.045M;1.279M;45.199M;-12.89;--;0.00%;14.65;-525.771M;2024/11/12 - 2024/11/12;+18.58%;-55.41%;8.20;-7.97;--;-87.39%;+80.23%;0.00;
META;Meta Platforms, Inc.;615.19;+0.25%;1.553T;9.94;29.06;24.32;9.44;2.31;-0.43%;--;--;3.238M;10.532M;12.012M;2.18B;21.17;0.33%;0.24%;65.19;79.209B;2025/01/30 - 2025/02/03;+6.69%;+19.05%;649.01;25.30;22.62;-0.41%;+94.06%;1.50;
GOOG;Alphabet Inc.;174.76;+1.01%;2.126T;6.26;23.16;19.51;6.82;2.38;-0.17%;--;--;2.828M;18.477M;17.776M;5.534B;7.54;0.46%;0.23%;25.61;123.47B;2025/01/28 - 2025/02/03;+2.60%;+5.08%;205.86;8.95;7.98;-9.66%;+33.25%;0.40;
AAPL;Apple Inc.;243.39;+0.30%;3.679T;9.41;39.96;29.29;64.60;3.21;+0.14%;--;--;8.096M;43.672M;48.372M;15.116B;6.09;0.41%;0.40%;3.77;134.661B;2025/01/30 - 2025/02/03;+6.07%;+17.90%;244.48;8.31;7.39;-0.31%;+48.32%;0.98;
AMZN;Amazon.com, Inc.;218.91;+2.56%;2.302T;3.71;46.88;35.60;8.88;1.99;+1.24%;--;--;14.119M;36.127M;38.228M;10.515B;4.67;--;0.00%;24.66;111.583B;2025/01/30 - 2025/02/03;+12.11%;+18.39%;234.50;6.15;5.12;-0.32%;+52.40%;0.00;
TSLA;Tesla, Inc.;351.17;-0.07%;1.127T;11.60;96.19;108.36;16.10;0.74;+0.46%;--;--;13.312M;69.166M;88.773M;3.21B;3.65;--;0.00%;21.81;13.244B;2025/01/24 - 2025/02/03;+26.72%;+62.26%;243.14;3.24;2.48;-3.00%;+152.94%;0.00;
NIO;NIO Inc.;4.59;-1.19%;9.454B;0.15;--;-5.41;0.37;2.42;+1.08%;--;--;11.635M;61.486M;72.184M;1.942B;-1.5000;--;0.00%;12.43;-18.416B;2025/03/03 - 2025/03/07;-14.65%;-6.58%;46.64;-0.85;-9.41;-51.93%;+27.42%;0.00;
PLTR;Palantir Technologies Inc.;69.21;-2.46%;157.707B;59.59;346.15;147.30;34.93;1.28;+0.06%;--;--;28.656M;61.06M;70.786M;2.181B;0.20;--;0.00%;1.98;397.707M;2025/02/03 - 2025/02/07;+39.78%;+117.82%;39.57;0.47;0.38;-3.00%;+341.97%;0.00;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
