Symbol;Company Name;Last Price;Change (%);Market Cap;Price/Sales;P/E Ratio (TTM);Forward P/E;Price / Book;Short Ratio;Pre-Mkt Chg %;Post-Mkt Chg %;PEG Ratio (5yr expected);Volume;Avg Vol (10 days);Avg Vol (3M);Shares Out;EPS (TTM);Fwd Ann Div Yield;Trl Ann Div Yield;Book Val;EBITDA;Earnings Date;52-DMA Chg %;200-DMA Chg %;1yr Target Est;EPS Est. Next Yr;EPS Current Year;52-Wk High Chg %;52-Wk Low Chg %;Trl Ann Div Rate;
MSFT;Microsoft Corporation;437.07;+1.36%;3.25T;12.78;36.06;29.24;11.30;2.58;+0.42%;--;--;6.373M;20.716M;20.048M;7.435B;12.12;0.77%;0.71%;38.69;136.552B;2025/01/28 - 2025/02/03;+3.84%;+3.50%;504.90;14.95;13.07;-6.68%;+20.03%;3.08;
ACB;Aurora Cannabis Inc.;4.3300;-1.81%;237.832M;0.80;--;-39.36;433.00;3.38;-0.44%;--;--;157,692;807,74;949,917;54.877M;-0.4800;--;0.00%;0.01;10.308M;2025/02/06 - 2025/02/10;-17.02%;-21.78%;--;-0.11;-0.65;-53.69%;+52.46%;0.00;
MRVL;Marvell Technology, Inc.;117.10;+22.09%;101.475B;19.22;--;46.86;6.84;1.92;+17.15%;--;--;20.498M;10.747M;10.513M;866.2M;-1.70;0.25%;0.00%;17.14;996.5M;2024/12/03 - 2024/12/03;+40.94%;+60.39%;116.70;2.50;1.55;-0.09%;+132.67%;0.00;
PYPL;PayPal Holdings, Inc.;85.47;+0.39%;85.687B;2.72;20.45;17.48;4.26;2.12;+0.90%;--;--;1.764M;7.657M;10.442M;1.003B;4.18;--;0.00%;20.05;6.121B;2025/02/05 - 2025/02/10;+4.44%;+24.65%;90.85;4.89;4.57;-3.68%;+53.25%;0.00;
ORCL;Oracle Corporation;187.57;+2.56%;520.1B;9.66;48.37;26.21;48.09;3.47;+3.22%;--;--;2.174M;8.358M;8.839M;2.771B;3.88;0.87%;0.87%;3.90;21.803B;2024/12/09 - 2024/12/09;+5.60%;+31.85%;183.81;7.16;6.29;-4.26%;+89.09%;1.60;
TLRY;Tilray Brands, Inc.;1.30;-0.01%;1.17B;1.44;--;-18.50;0.33;4.53;+0.38%;--;--;3.259M;24.365M;25.725M;903.286M;-0.2700;--;0.00%;3.97;31.123M;2025/01/07 - 2025/01/13;-16.96%;-27.56%;2.20;-0.07;-0.08;-56.40%;+1.17%;0.00;
CGC;Canopy Growth Corporation;3.52;+0.18%;463.565M;1.65;--;-4.56;0.65;1.31;+1.14%;--;--;683,259;4.048M;5.296M;105.36M;-5.0600;--;0.00%;5.43;-57.044M;2025/02/07 - 2025/02/11;-19.44%;-43.34%;6.17;-0.77;-2.94;-76.44%;+27.59%;0.00;
ADBE;Adobe Inc.;536.77;+3.97%;236.308B;11.28;45.42;26.12;16.42;2.46;+1.74%;--;--;950,808;2.176M;2.952M;440.2M;11.82;--;0.00%;32.69;8.134B;2024/12/11 - 2024/12/11;+6.76%;+3.98%;613.11;20.55;18.27;-15.89%;+23.70%;0.00;
BKSY;BlackSky Technology Inc.;11.07;+4.34%;340.722M;3.18;--;-7.05;3.06;1.44;+1.79%;--;--;236,134;1.046M;998,648;30.779M;-2.25;--;0.00%;3.62;1.434M;2025/02/26 - 2025/03/03;+52.40%;+26.18%;12.86;-1.57;-2.17;-21.82%;+186.79%;0.00;
RTX;RTX Corporation;117.96;-0.12%;157.034B;1.99;34.00;19.31;2.57;2.81;0.00%;--;--;300,565;4.299M;5.038M;1.331B;3.47;2.13%;2.07%;45.92;12.571B;2025/01/21 - 2025/01/27;-3.51%;+7.73%;134.91;6.11;5.57;-8.33%;+48.09%;2.44;
QMCO;Quantum Corporation;13.40;-5.37%;64.97M;0.22;--;-11.17;-0.53;4.64;-2.82%;--;--;377,604;9.984M;1.626M;4.848M;-13.13;--;0.00%;-25.35;-30.079M;2025/02/02 - 2025/02/09;+139.27%;+74.56%;5.00;-1.20;-4.72;-59.39%;+503.60%;0.00;
ARQQ;Arqit Quantum Inc.;28.61;+6.14%;194.659M;263.05;--;-14.26;12.37;1.00;+3.30%;--;--;253,774;1.067M;296,226;6.825M;-14.02;--;0.00%;2.31;-61.885M;2024/12/05 - 2024/12/05;+254.14%;+174.96%;140.00;-2.00;--;-12.25%;+666.67%;0.00;
QUBT;Quantum Computing Inc.;6.42;+4.05%;760.13M;1,969.25;--;-20.74;10.05;0.61;+0.81%;--;--;5.147M;66.193M;18.568M;118.218M;-0.24;--;0.00%;0.64;-20.262M;2024/11/06 - 2024/11/06;+209.48%;+495.30%;8.50;-0.31;-0.25;-30.11%;+1,711.24%;0.00;
BEAM;Beam Therapeutics Inc.;26.16;+0.69%;2.166B;6.20;--;-5.48;2.62;9.35;+0.08%;--;--;89,463;955,38;997,219;82.806M;-1.58;--;0.00%;9.97;-160.829M;2025/02/25 - 2025/03/03;+6.00%;-1.68%;49.20;-4.77;-4.72;-47.15%;+25.53%;0.00;
ACHR;Archer Aviation Inc.;7.09;+5.11%;3.047B;--;--;-7.15;6.43;4.22;-0.15%;--;--;19.377M;56.282M;21.281M;389.162M;-1.31;--;0.00%;1.10;-482.3M;2025/02/24 - 2025/02/28;+75.37%;+77.17%;9.61;-0.99;-1.13;-28.02%;+151.07%;0.00;
NOW;ServiceNow, Inc.;1,113.63;+5.33%;229.831B;21.96;172.71;66.70;24.74;2.46;+2.58%;--;--;745,024;1.209M;1.251M;206.317M;6.45;--;0.00%;45.03;1.824B;2025/01/22 - 2025/01/27;+15.35%;+35.79%;1,015.27;16.70;13.89;-0.03%;+74.61%;0.00;
GTLB;GitLab Inc.;67.60;+5.86%;10.845B;16.30;--;105.62;16.87;3.33;+3.37%;--;--;717,918;2.214M;1.673M;136.462M;-2.34;--;0.00%;4.01;-162.811M;2024/12/05 - 2024/12/05;+19.02%;+25.17%;67.37;0.64;0.47;-13.92%;+66.01%;0.00;
